,mgv850GLB_cluster1,mgv850GLB_cluster2,mgv850GLB_cluster3,mgv850GLB_cluster4,mgv850GLB_cluster5,mgv850GLB_cluster6,mgv850GLB_cluster7,mgv850GLB_cluster8
1969-12-01,0.029980099,0.54206437,-0.27133507,-0.33992586,0.02725463,0.553572,0.046332885,0.11325816
1970-01-01,0.11603465,0.27515665,-0.24529675,-0.47893763,0.02108531,0.58999556,0.06679197,0.10634325
1970-02-01,0.059326984,0.3841192,-0.2053525,-0.44488677,0.044658948,0.48090202,-0.053826474,0.12166612
1970-03-01,0.12952402,-0.034312747,-0.28995568,-0.5563377,0.021740127,0.6544302,-0.042039655,0.11367726
1970-04-01,0.2758115,0.029859925,-0.27070385,-0.23455763,0.0691493,0.51573867,-0.13895345,0.10267627
1970-05-01,0.4238015,-0.6531205,-0.06980415,-0.06928029,-0.023180723,0.16999206,-0.2667749,0.06613712
1970-06-01,0.39263195,-1.347102,0.07425694,-0.24228454,0.056969643,0.53918135,-0.3982634,0.066661
1970-07-01,0.50617826,-1.2516288,-0.05867214,-0.4164675,0.13240524,0.6049255,-0.30331406,0.09206812
1970-08-01,0.31523186,-1.3767,-0.061291434,-0.3390674,0.040337134,0.27358508,-0.31601763,0.10175951
1970-09-01,0.28000236,-1.3180279,-0.045313764,-0.37246335,0.013227439,0.13672705,-0.24477284,0.10490265
1970-10-01,0.11826104,-0.6189388,-0.14589459,-0.3549141,0.0052385805,0.37848777,-0.20469768,0.06417267
1970-11-01,0.12480929,0.5239894,-0.19959007,-0.20810278,0.034312747,0.58763826,-0.0043218373,0.05971985
1970-12-01,0.29008663,0.40952635,-0.259179,-0.436898,0.033526946,0.43611217,-0.029205108,0.11603463
1971-01-01,0.1740455,0.3773145,-0.29684186,-0.40481052,0.03311039,0.5280388,0.11156763,0.10149054
1971-02-01,0.14122303,0.47808534,-0.3036079,-0.45994654,0.038580813,0.36349452,-0.059310794,0.15058032
1971-03-01,0.124092,0.30029687,-0.26646668,-0.31829166,0.06348558,0.55510294,-0.20283714,0.12322824
1971-04-01,0.17894009,0.5710823,-0.096883915,-0.4746303,0.017994786,0.56086123,-0.14007136,0.077161595
1971-05-01,0.48629087,-0.41186452,-0.07399454,0.0919893,-0.061758064,0.20586023,-0.27971083,0.08220015
1971-06-01,0.3347029,-1.1459075,0.014395809,-0.37342766,0.07860122,0.6691178,-0.41992617,0.06981973
1971-07-01,0.50169444,-0.8356775,-0.0011516571,-0.35284165,0.1071049,0.5431544,-0.33254352,0.12970638
