,ssta30GLB_cluster1,ssta30GLB_cluster2,ssta30GLB_cluster3,ssta30GLB_cluster4,ssta30GLB_cluster5,ssta30GLB_cluster6,ssta30GLB_cluster7,ssta30GLB_cluster8
1979-11-01,-4.03891,2.3224182,0.49612427,-8.681793,-0.46176147,-3.0897522,-10.63089,-8.016449
1979-12-01,-2.8532104,2.3950195,-0.628479,-11.060211,0.19833374,-4.826996,-9.374603,-6.173645
1980-01-01,-1.0847168,2.2968445,-2.0274963,-12.264709,0.5667114,-5.8445435,-7.748871,-4.8369446
1980-02-01,-0.56225586,1.7142029,-2.194397,-13.214539,1.101532,-6.8131714,-7.8737183,-4.3971252
1980-03-01,-0.55029297,1.4693298,-2.755005,-13.558868,1.0259094,-7.3653564,-8.80896,-4.4846497
1980-04-01,-1.8903503,1.7644043,-2.6247559,-14.125427,0.9037781,-7.3345947,-9.816925,-5.2466736
1980-05-01,-2.825653,2.1618042,-1.5141907,-12.678833,0.36291504,-6.0171814,-10.815582,-6.5521545
1980-06-01,-3.524475,2.226593,0.66967773,-8.517883,-0.61157227,-3.6991882,-11.999908,-7.811676
1980-07-01,-4.3803406,2.8855896,1.5874939,-4.710907,-1.2373047,-1.6906128,-12.212891,-8.63092
1980-08-01,-5.1690674,2.745636,2.2398682,-2.6674194,-1.3920898,0.13067627,-13.292145,-8.890106
1980-09-01,-5.3521423,2.31958,2.565033,-3.674469,-1.7513428,0.03668213,-13.059021,-8.692139
1980-10-01,-4.735779,2.0812683,1.7779236,-7.599182,-1.0513611,-1.7065735,-11.903717,-8.667664
1980-11-01,-4.6216125,2.0726929,1.0012817,-10.09903,-0.8941345,-3.34729,-10.895782,-8.0442505
1980-12-01,-2.5930176,2.0628662,-0.24081421,-12.038422,-0.5159912,-5.016968,-9.500153,-6.6585083
1981-01-01,-1.0724792,2.1372375,-1.2652588,-13.285431,0.4998169,-5.8457947,-7.9630737,-5.0911865
1981-02-01,-1.20047,1.8041992,-2.2514038,-13.806091,0.7840271,-6.92218,-7.681946,-5.0499573
1981-03-01,-0.9265442,1.9345703,-2.486023,-14.030975,0.68933105,-7.069153,-7.9811707,-5.3758545
1981-04-01,-1.9815063,1.7880249,-2.6689758,-13.266541,0.27825928,-7.5899353,-9.501617,-5.977661
1981-05-01,-3.298706,2.093872,-1.4054871,-12.902252,-0.2479248,-6.663269,-10.4646,-6.9021606
1981-06-01,-4.5918884,2.577057,0.6248779,-11.610626,-1.00177,-3.598877,-10.8078,-7.334076
1981-07-01,-5.0783997,2.4919434,1.9060059,-6.450775,-1.666687,-2.331604,-10.882141,-8.171234
1981-08-01,-4.936798,2.5453796,2.4889832,-3.3752441,-2.2453613,-1.0375671,-11.861725,-8.812958
1981-09-01,-5.2476807,2.4082947,2.9865723,-4.1844177,-2.3435059,-0.6655884,-12.338684,-9.435028
1981-10-01,-4.909973,2.4255676,1.9949341,-5.7005005,-2.0575867,-1.6946106,-12.383942,-9.122955
1981-11-01,-4.0176697,2.3874207,0.71310425,-8.9314575,-1.0145569,-3.8797607,-11.329132,-7.770294
1981-12-01,-2.786621,2.2537842,-0.6616821,-10.74762,-0.41610718,-5.548279,-10.108856,-6.980652
1982-01-01,-1.7659302,2.0543213,-1.9837341,-12.329437,-0.07562256,-6.601074,-8.292389,-5.3032837
1982-02-01,-1.0197449,1.7340393,-2.543335,-12.876007,0.13433838,-7.1436462,-6.9493713,-4.8820496
1982-03-01,-1.1877441,1.7518005,-2.7463684,-13.232758,0.2652588,-7.4858704,-7.040283,-5.774536
1982-04-01,-2.0074158,1.654602,-2.501587,-12.369629,0.44796753,-7.7282715,-9.017029,-6.942688
1982-05-01,-3.0342102,2.2059937,-1.7053833,-10.888977,0.023986816,-6.135956,-10.1059265,-7.354645
1982-06-01,-3.9883728,2.7233276,0.34555054,-9.505951,-0.6312866,-3.3470154,-11.3324585,-7.63089
1982-07-01,-4.222473,2.0325928,1.6360474,-6.1481323,-1.1147156,-1.6489563,-11.885498,-8.653046
1982-08-01,-4.9219666,2.1757507,2.2433472,-2.6308289,-1.9734192,-0.7702942,-12.356689,-9.11322
1982-09-01,-5.237915,1.7436523,2.3249512,-5.2063904,-1.7816772,-0.8439026,-12.317657,-9.461212
1982-10-01,-4.8507385,1.4629211,1.2556458,-7.334137,-1.4130249,-1.5021362,-12.783112,-9.020447
1982-11-01,-4.4843445,1.78125,-0.2810669,-8.650055,-1.0586548,-3.399353,-12.30957,-8.23999
1982-12-01,-4.0999756,2.0354614,-1.4938965,-10.914307,-0.017852783,-5.194977,-10.585358,-6.258423
1983-01-01,-2.84021,1.8705139,-2.4924622,-12.93689,0.9126282,-6.463318,-8.680023,-4.3020935
1983-02-01,-2.0090332,1.8426819,-3.447754,-13.939911,0.9185791,-7.3645935,-7.6915894,-4.6332703
1983-03-01,-2.2525024,2.1635132,-3.315033,-14.710083,1.2153015,-7.9133606,-8.984589,-5.480591
1983-04-01,-3.3928223,2.5058289,-3.2891235,-14.172913,0.9421997,-7.8517456,-9.222015,-6.1593323
1983-05-01,-4.6419067,2.4769592,-2.1049805,-12.738922,0.38711548,-7.1595764,-10.904694,-7.0414124
1983-06-01,-5.1479187,2.629303,-0.20474243,-10.710388,-0.23513794,-5.1976013,-12.148163,-8.208649
1983-07-01,-5.540741,1.9505005,1.5960083,-7.169983,-0.74417114,-3.1793518,-12.776337,-8.888458
1983-08-01,-5.9150085,2.1506348,1.7334595,-2.6502686,-1.4931946,-1.6383667,-12.624908,-8.87204
1983-09-01,-6.031006,2.0245361,2.161499,-2.7720337,-1.8016357,-0.9489136,-13.115662,-9.382568
1983-10-01,-5.8509216,2.0502625,1.5496216,-6.2903137,-1.824585,-2.3237915,-12.884918,-9.245422
1983-11-01,-5.133026,1.9352112,0.73812866,-9.341187,-0.7425842,-4.336273,-12.067688,-8.074646
1983-12-01,-3.32193,1.9231873,-0.7213135,-11.807678,0.09762573,-5.933655,-10.003845,-5.992981
1984-01-01,-1.7911072,1.6636047,-1.926239,-13.267914,1.361206,-6.6856384,-8.78421,-4.0208435
1984-02-01,-0.40679932,1.3616638,-2.6399841,-13.630249,2.2980957,-7.609741,-8.563995,-4.382202
1984-03-01,-0.78356934,1.4194336,-2.7875977,-14.019897,2.1663208,-8.138458,-8.472046,-4.5347595
1984-04-01,-2.065094,1.539093,-2.4996643,-14.163055,1.2520447,-7.6297607,-9.178467,-5.4911194
1984-05-01,-3.3779602,1.8887634,-1.6134949,-13.333313,0.37472534,-6.4951477,-10.9600525,-6.458008
1984-06-01,-4.293762,2.1123352,0.046936035,-10.562256,-0.069885254,-4.647156,-12.075775,-7.402008
1984-07-01,-5.006256,2.8257751,0.46636963,-6.514862,-0.6749878,-2.5523071,-12.521027,-8.120453
