,mgu200GLB_cluster1,mgu200GLB_cluster2,mgu200GLB_cluster3,mgu200GLB_cluster4,mgu200GLB_cluster5,mgu200GLB_cluster6,mgu200GLB_cluster7,mgu200GLB_cluster8
1971-05-01,-0.379208,1.3695252,-1.2963616,1.932621,-3.0183117,-0.25803107,0.7414314,0.8263531
1971-06-01,-0.7339188,2.1236947,-1.4560798,0.6728409,-2.1850996,0.22863503,3.987725,1.0010955
1971-07-01,-0.8776325,2.4062226,-1.7693104,1.2636993,-2.8167863,-0.6153549,2.2357259,0.88841134
1971-08-01,-0.72020113,3.0751438,-1.4903752,0.7695206,-3.501712,-0.12738189,2.6665401,1.0317981
1971-09-01,-0.64148486,1.6429077,-1.2274444,0.7136688,-2.504209,-0.12215652,-0.5049572,0.7780132
1971-10-01,-0.56995505,1.6197174,-0.6375656,1.541655,-2.6459632,0.27044296,-1.2111137,1.0409435
1971-11-01,0.20903778,2.6146073,-0.5777939,3.00394,-2.9255512,0.0032661438,-1.135664,0.42526168
1971-12-01,1.0017487,0.6329929,-0.16004486,3.3579984,-1.7833545,-0.54382515,-2.1445985,0.93185174
1972-01-01,0.8116886,0.3684017,-0.6538841,2.4353528,-0.7419678,-0.6515888,-2.310257,0.71901435
1972-02-01,1.0099484,0.9494087,-1.0833992,3.414027,-1.7599494,-0.08865738,-3.9086719,1.5737404
1972-03-01,0.6742554,0.54514235,-0.9950287,2.1513047,-1.4730324,-0.18735656,-1.1037705,1.7456039
1972-04-01,-0.06885986,1.7045746,-0.4378353,2.3682141,-1.9484541,-0.087796785,-0.8679245,1.3281395
1972-05-01,-0.5462902,0.33511925,-1.446923,1.969973,-3.0249672,-0.035577394,-1.875864,1.1281582
1972-06-01,-0.7657822,1.3447803,-1.7292497,1.3947045,-3.3626685,0.042463683,0.8372242,0.6240444
1972-07-01,-0.94768715,2.2832863,-1.8936532,0.18907776,-3.8171456,-0.16870728,2.6714854,0.21461411
1972-08-01,-1.1192639,2.4562976,-1.4182312,1.0561416,-3.5764222,0.14116363,0.681715,0.5594883
1972-09-01,-0.5956402,1.0679061,-1.3453544,0.7115547,-2.8671632,0.09296112,-0.2484703,0.9597378
1972-10-01,-0.21260567,1.2400558,-1.1261498,2.427032,-3.561502,0.3993885,-0.3233555,0.92702943
1972-11-01,0.15923882,0.9715015,-1.0263023,2.5237231,-2.5957391,-0.062260818,-1.3043255,0.9367844
1972-12-01,1.2004616,-0.9310459,-0.6977825,3.614008,-1.9369776,-0.9990452,-2.4958923,1.4254042
1973-01-01,0.4905731,-1.0614223,-0.56702614,3.9924393,-1.053777,-0.1672409,-3.4117146,2.074106
1973-02-01,1.0282929,0.10384865,-0.9601219,3.2250419,-1.4258484,-0.32779235,-2.3353207,1.5360683
1973-03-01,0.19399948,0.2666298,-0.88908464,2.7319205,-0.99261475,-0.02866974,-2.4308867,1.521733
1973-04-01,-0.20706025,0.07581596,-0.84162027,2.9338832,-2.5812442,-0.007645416,-1.4188404,0.84384954
1973-05-01,-0.12742157,0.3905472,-0.768034,2.0170846,-3.5238461,0.4217655,-2.3034644,1.0712979
1973-06-01,-0.41189042,2.36176,-0.78268737,0.77217484,-2.8962944,0.3787609,3.7229419,1.0142765
1973-07-01,-0.9101089,2.436302,-0.94546854,0.51860654,-2.9103107,-0.07868309,3.3355803,1.0333897
1973-08-01,-0.9260365,2.1075542,-1.766064,0.47655717,-2.7061176,0.35359535,2.8290792,0.8024376
