,zgu250GLB_cluster1,zgu250GLB_cluster2,zgu250GLB_cluster3,zgu250GLB_cluster4,zgu250GLB_cluster5,zgu250GLB_cluster6,zgu250GLB_cluster7,zgu250GLB_cluster8
1982-05-01,-0.30476874,0.14203148,-0.34262198,0.28276825,-0.12035446,-0.035588454,-0.05014801,-0.06373634
1982-06-01,-0.24491501,0.15917893,0.04335327,0.14785461,0.020058442,0.08961868,-0.1747078,-0.06600113
1982-07-01,-0.046588898,0.46038818,-0.10708924,0.25559157,-0.29732665,-0.044971466,-0.23650321,-0.103207394
1982-08-01,-0.24976769,0.49177092,-0.27500382,0.28697434,-0.035912324,-0.12294312,-0.26044425,-0.0061470033
1982-09-01,-0.116795346,0.50762403,0.154002,0.08994217,0.24459152,0.29473916,0.0488533,-0.17697296
1982-10-01,0.24556199,0.24038544,0.020706177,-0.19541398,-0.05726547,-0.06050072,-0.38015214,-0.034617998
1982-11-01,0.3144745,-0.32353362,-0.2856802,-0.18797302,0.2594738,0.0038822175,-0.30444488,-0.18700218
1982-12-01,0.22841454,-0.38953438,-0.27306253,0.2678856,-0.08670692,-0.28341562,-0.19703217,-0.11000176
1983-01-01,0.056615066,-0.5101849,-0.317564,0.03611679,-0.21279411,0.1776535,-0.2508629,0.05043297
1983-02-01,0.48838502,-0.42688942,-0.2690838,-0.10639648,0.021148682,0.11030197,-0.3113819,-0.1893673
1983-03-01,0.390773,-0.34066564,-0.35140306,0.17017059,-0.4031372,0.017895509,-0.11322975,-0.20823899
1983-04-01,0.0719078,-0.30910414,-0.0793911,0.27819365,0.173098,-0.022125244,-0.061169434,-0.029934693
1983-05-01,0.13665695,0.34912568,-0.3182148,0.047829818,-0.04815483,-0.16919403,-0.109650806,-0.047829818
1983-06-01,0.4402298,-0.013339996,-0.47927475,0.038394164,0.21604767,0.20531043,-0.05954323,-0.13437882
1983-07-01,-0.2567192,0.24207763,0.0078086853,0.14316407,-0.09533386,0.05791626,0.34977645,-0.208564
1983-08-01,-0.09468384,0.15422669,-0.17863007,0.098587796,-0.10379334,0.12136383,0.011388397,-0.26550445
1983-09-01,-0.0042297365,0.3357849,-0.171146,0.20823899,0.005205536,-0.095659636,-0.03188629,0.0026031495
1983-10-01,0.1408867,-0.095659636,-0.2629013,-0.036766816,0.09663582,-0.15617904,-0.056614686,-0.159758
1983-11-01,0.26029855,0.1415371,-0.20010452,0.33838806,-0.13698272,0.45552215,-0.35302964,0.12754631
1983-12-01,0.48350447,-0.2384983,-0.20661163,-0.19457245,0.07483597,0.5746086,-0.31691322,-0.21767502
1984-01-01,0.33800966,-0.31275406,-0.56358016,0.19996873,-0.19477996,0.51030123,-0.5089172,0.21519165
1984-02-01,0.3466591,-0.106557846,-0.33766365,0.17575073,-0.16779403,0.27089232,-0.7587055,0.07507477
1984-03-01,0.09375687,0.006573486,-0.13769493,-0.05258713,0.0972168,0.6556072,-0.29372558,-0.09064331
