,vo600GLB_cluster1,vo600GLB_cluster2,vo600GLB_cluster3,vo600GLB_cluster4,vo600GLB_cluster5,vo600GLB_cluster6,vo600GLB_cluster7,vo600GLB_cluster8
1969-11-01,9.918971e-06,8.6432556e-07,-6.6646608e-06,9.521139e-05,-1.2830489e-05,-3.634268e-07,-7.484082e-05,9.6466225e-05
1969-12-01,1.4495945e-05,5.892678e-06,-6.339673e-06,4.430496e-05,-2.276081e-05,-2.0092557e-07,-5.6090576e-05,0.00018427733
1970-01-01,9.987794e-06,6.73849e-06,-6.5990534e-06,7.565453e-05,-1.4167257e-05,1.5930818e-06,-5.2048796e-05,0.00015096384
1970-02-01,1.3593628e-05,7.2732873e-06,-8.803072e-06,4.7909845e-05,-1.1112428e-05,-7.892013e-07,-4.5639325e-05,0.00014037322
1970-03-01,1.0174161e-05,1.1312113e-06,-1.1225868e-05,6.1304105e-05,-1.5317884e-05,-3.1309683e-06,-5.6343386e-05,0.00013613534
1970-04-01,9.95538e-06,1.7146267e-06,-8.057596e-06,7.982757e-05,-7.701063e-06,-5.2458527e-06,-4.6028268e-05,0.00012225489
1970-05-01,1.1673217e-05,1.9739236e-06,-3.0985575e-06,9.188484e-05,-1.3421781e-05,-3.3335455e-06,-4.0769417e-05,0.00013641085
1970-06-01,1.2864359e-05,4.4777516e-06,7.354316e-06,8.142386e-05,-1.1225868e-05,-1.4807396e-05,-3.8678845e-05,6.160392e-05
1970-07-01,1.4679432e-05,6.171278e-06,-1.2834826e-06,7.769649e-05,-7.613562e-08,-1.1233973e-05,-3.9083992e-05,6.50558e-05
1970-08-01,8.845269e-06,3.6593483e-06,1.9658182e-06,9.830242e-05,-2.7339229e-06,-7.3769406e-06,-3.299053e-05,-3.250435e-05
1970-09-01,1.0992564e-05,3.1280797e-07,-2.7060742e-07,9.979337e-05,-5.2053365e-06,-2.2801541e-06,-3.195335e-05,2.7757676e-05
1970-10-01,1.0895328e-05,4.9072114e-06,-1.5913974e-06,0.00010541685,-1.2603377e-05,3.075933e-06,-3.4627337e-05,5.7601035e-05
1970-11-01,8.313982e-07,-3.892652e-06,-2.6528905e-06,8.4681276e-05,-1.3235414e-05,5.5554483e-06,-7.209562e-05,8.050822e-05
1970-12-01,1.4314795e-05,2.5249283e-06,-5.1324096e-06,6.449669e-05,-7.4903837e-06,4.923415e-06,-3.0794617e-05,0.00021001042
1971-01-01,-2.512861e-06,2.6198504e-06,-7.869454e-06,4.0066254e-05,-1.6501363e-05,5.4474003e-06,-6.7496796e-05,6.32671e-05
1971-02-01,7.951567e-06,2.478886e-06,-1.14515715e-05,5.1434505e-05,-1.5962389e-05,8.117408e-06,-6.505068e-05,0.00017689985
1971-03-01,2.88519e-06,3.051031e-06,-5.4150405e-06,7.276137e-05,-1.276999e-05,1.5916485e-06,-4.679182e-05,8.1061604e-05
1971-04-01,3.7226782e-06,7.86865e-06,-1.4967358e-05,9.028224e-05,-7.662158e-06,2.4472683e-08,-7.066432e-05,0.00013763751
1971-05-01,8.515421e-06,1.8569917e-06,2.6530179e-06,9.473502e-05,-4.643891e-06,-5.672089e-06,-3.34418e-05,0.00012234718
1971-06-01,1.50163e-05,4.9250084e-06,1.1367847e-05,6.035663e-05,-8.391849e-06,-9.113246e-06,-4.392281e-05,5.71974e-05
1971-07-01,1.2503842e-05,5.920043e-06,4.891841e-06,8.315117e-05,-6.683709e-06,4.5767483e-06,-3.582988e-05,6.5170607e-06
1971-08-01,1.1873657e-05,4.2699467e-06,1.9067411e-06,7.404663e-05,-5.6057543e-06,-3.49131e-06,-4.1634237e-05,-1.0224365e-05
1971-09-01,4.825506e-06,2.2384193e-06,-6.3354455e-06,8.918771e-05,-1.7612489e-05,6.5170607e-06,-3.9818304e-05,1.4341022e-06
1971-10-01,9.618248e-06,3.0261544e-06,1.2019264e-06,7.9817815e-05,-2.5045701e-06,-1.5795013e-07,-4.6352354e-05,3.0298346e-05
1971-11-01,6.9150738e-06,4.427493e-06,-2.172892e-06,5.567998e-05,-9.942443e-06,1.3345998e-06,-4.5473404e-05,0.000119287455
1971-12-01,7.2716284e-06,-3.5695848e-07,-4.6190144e-06,5.3200685e-05,-8.657189e-06,-8.2130646e-07,-4.9785216e-05,0.0002164524
1972-01-01,1.1103912e-06,4.5792694e-06,-7.022303e-06,4.9968985e-05,-8.770119e-06,5.7920406e-06,-4.5411834e-05,0.00016455795
1972-02-01,3.4645927e-06,3.3129982e-06,-7.4592535e-06,3.9223483e-05,-1.2916724e-05,7.4150157e-06,-5.4400596e-05,0.00018323104
1972-03-01,-1.2149823e-05,1.3547833e-08,-1.16147785e-05,7.7889454e-05,-6.0413877e-06,1.4581747e-06,-6.711686e-05,0.00019538548
1972-04-01,4.4990156e-06,1.7435304e-06,-8.1994e-06,8.038633e-05,-7.691109e-06,-3.2680618e-06,-3.536189e-05,0.00014094458
1972-05-01,9.617623e-06,3.642941e-06,-1.859109e-06,8.183988e-05,-7.789204e-06,1.5622936e-07,-4.201429e-05,0.00014910405
1972-06-01,1.262279e-05,3.678615e-06,7.3169213e-06,0.00010587234,-1.1579112e-05,-9.385418e-06,-2.9075105e-05,9.9425044e-05
1972-07-01,1.5815232e-05,6.5054337e-06,-2.1979722e-06,6.998861e-05,-4.552174e-06,-4.5015622e-07,-2.7541304e-05,5.9269863e-05
1972-08-01,1.192723e-05,4.7130306e-06,-1.6480044e-07,7.937866e-05,-8.90388e-06,3.9193837e-06,-3.7858772e-05,-4.9406844e-05
1972-09-01,1.1713215e-05,1.0301374e-06,3.5181001e-06,0.000100932084,-4.52542e-06,-2.2158056e-06,-4.341433e-05,2.6709458e-06
1972-10-01,1.3728553e-05,-2.0374573e-06,-3.3037359e-06,0.0001012442,-5.7827783e-06,2.0110529e-06,-4.149708e-05,5.170788e-05
1972-11-01,9.082571e-06,-7.35512e-07,-5.399328e-06,9.970149e-05,-1.2016062e-05,1.9218787e-06,-5.819051e-05,0.00012200397
1972-12-01,4.5436027e-06,1.5919359e-06,-8.966301e-06,5.5729644e-05,-3.1253876e-06,-2.2782333e-06,-4.6241148e-05,0.00017316325
1973-01-01,7.97235e-06,-7.5206044e-06,-9.652991e-06,4.2497486e-05,-1.0661672e-05,9.292926e-07,-7.538307e-06,0.00017991674
1973-02-01,7.4591626e-06,-2.627632e-06,-1.2227778e-05,6.766137e-05,-1.7669336e-05,-5.306356e-07,-3.381705e-05,0.00014767441
1973-03-01,1.25556435e-05,4.2473184e-06,-9.936128e-06,6.463534e-05,-3.945992e-06,1.088556e-06,-5.062836e-05,0.00016844965
1973-04-01,6.7336186e-06,1.1416487e-06,-5.087393e-06,9.643527e-05,-7.724113e-06,-1.3269673e-06,-3.9701008e-05,0.00016529975
1973-05-01,9.264168e-06,2.619272e-06,4.8578295e-06,9.0701724e-05,-1.4988371e-05,1.8052524e-06,-5.5539036e-05,0.00017474062
1973-06-01,1.1945129e-05,3.4067489e-06,5.264843e-06,6.5316635e-05,-8.228453e-06,-7.66218e-06,-5.1088464e-05,9.0931775e-05
