,vo600_cluster1,vo600_cluster2,vo600_cluster3,vo600_cluster4,vo600_cluster5,vo600_cluster6,vo600_cluster7,vo600_cluster8,vo600_cluster9,vo600_cluster10
1968-07-01,1.8807077e-05,-4.39187e-06,-9.472744e-06,-1.0514974e-05,-3.8149155e-06,-1.26645755e-05,1.5782745e-05,-2.2612301e-05,-2.0667423e-05,-7.9989695e-07
1968-08-01,1.2079105e-05,-1.3489262e-06,-8.076902e-06,-7.481336e-06,-3.1600212e-07,-1.5381818e-05,1.4405512e-05,-3.6198522e-05,-1.4144171e-05,1.1263692e-06
1968-09-01,9.7619995e-06,2.1313826e-06,4.191461e-07,-5.452712e-06,3.2666649e-06,-1.26645755e-05,1.9421248e-05,-4.7355978e-05,-1.0412616e-05,-1.3954559e-06
1968-10-01,-4.810623e-06,5.121983e-07,-9.240102e-06,-6.3925763e-06,-2.4842157e-06,-1.1203592e-05,1.773693e-05,-4.2954416e-05,-7.955925e-06,1.2101227e-06
1968-11-01,-1.20690165e-05,9.0303365e-07,-9.193573e-06,-1.911338e-05,-3.5543635e-06,-5.0339586e-06,1.7085535e-05,-8.839383e-05,3.685418e-06,-1.5722617e-06
1968-12-01,-1.6172802e-05,-7.2544935e-07,-1.4535006e-05,-1.582849e-05,-1.6746199e-06,-8.371135e-07,1.7029699e-05,-7.8250676e-05,5.341826e-06,1.7405473e-06
1969-01-01,-1.2658966e-05,-1.7717248e-06,-1.0772208e-05,2.3538742e-06,1.243483e-06,-7.0889582e-06,1.3755685e-05,-5.003308e-05,4.403133e-06,-2.8550348e-06
1969-02-01,-8.1812905e-06,-4.8320653e-06,-1.6784565e-05,1.3602217e-05,2.886496e-06,-1.4861689e-05,-1.5821424e-06,-6.621047e-05,-7.5132557e-06,6.5516906e-06
1969-03-01,-5.175112e-06,3.6780693e-07,-2.109071e-05,6.2086438e-06,3.6718993e-06,-1.2938821e-05,-1.7536659e-06,-5.461908e-05,-7.847273e-06,8.73355e-07
1969-04-01,-2.1505977e-05,-3.929308e-06,-4.5070774e-06,-1.8310224e-05,1.01779e-06,-1.5105434e-05,1.0568954e-05,-4.583526e-05,1.1796703e-05,-2.460656e-07
