,mgu250_cluster1,mgu250_cluster2,mgu250_cluster3,mgu250_cluster4,mgu250_cluster5,mgu250_cluster6,mgu250_cluster7
1971-09-01,0.41219634,0.4350605,3.4220161,-0.8015297,0.19793281,-0.405011,-2.0988717
1971-10-01,-0.0326622,0.82504654,3.8280067,0.594125,2.4519496,-0.22046967,-1.5178112
1971-11-01,0.20413856,0.35634422,1.0474762,1.7405674,3.705524,-0.3573242,-1.3100799
1971-12-01,1.5583127,1.2734982,-1.3623397,-0.32041588,4.6047134,-0.53174055,-1.3182453
1972-01-01,0.42492446,1.2050518,-1.8950875,0.6237577,3.7316444,-1.003923,-0.9912987
1972-02-01,-0.47369996,1.3556836,-2.9902496,1.1617275,3.428086,-0.23785439,-1.232022
1972-03-01,-1.7292497,1.5192261,-3.287496,1.8308178,2.8330193,-0.3586464,-0.629496
1972-04-01,1.2216934,0.89718974,1.2297271,0.85156995,-0.4593544,-0.2992546,-1.8084387
1972-05-01,3.8091118,0.84784013,2.0158794,2.21873,1.5949724,-0.32220802,-2.5702038
1972-06-01,4.446355,0.41373444,2.0781407,0.98670805,1.3522403,-0.824313,-3.074317
1972-07-01,5.0876145,0.21949157,2.2933288,-0.07345085,-0.061400224,-0.3001152,-2.6634517
1972-08-01,4.846891,0.29208183,1.3835144,-0.49034157,-0.05422745,-0.13829422,-3.2387207
1972-09-01,3.6269193,0.6756897,3.2332687,-0.55001986,0.89747655,-0.28691712,-2.5469632
1972-10-01,3.4889126,0.7990643,2.3375137,0.20285034,1.825367,-0.70352095,-2.6800933
1972-11-01,1.024581,0.5448559,1.100901,1.6586682,3.7195938,-0.7979164,-2.7707584
1972-12-01,2.0878963,1.2061999,-1.0151131,1.1996006,4.439182,-0.59219706,-2.4872844
1973-01-01,0.123917386,1.144565,-2.3566635,2.2929528,4.4138856,-0.48133507,-1.511858
1973-02-01,-0.19909629,1.284729,-2.229879,2.4022167,4.658536,-0.8616886,-1.5832138
1973-03-01,2.0909894,1.3356975,-3.2393768,2.4146407,5.1758676,-0.96203345,-1.4991157
1973-04-01,1.4513328,0.6393383,2.3528411,2.7739697,1.3172213,-0.26949653,-1.9931934
1973-05-01,1.4733131,0.89449996,3.0017357,2.1906967,2.2458067,-0.30294496,-2.2610972
