,msl_cluster1,msl_cluster2,msl_cluster3,msl_cluster4,msl_cluster5,msl_cluster6,msl_cluster7,msl_cluster8
1971-02-01,2210.6405506963315,1903.3217955972545,1438.8844664667695,1349.7691243489583,1105.5165653145468,2611.226869240785,2082.645338408801,1337.636113799779
1971-03-01,2206.550001061481,1902.203369140625,1438.1593516175176,1356.832275390625,1106.072558273915,2600.0485151241987,2076.620545679209,1339.9071077329925
1971-04-01,2208.309803838315,1901.91650390625,1437.6336755886884,1355.6332194010417,1106.4344247876297,2608.627710586939,2077.032470703125,1342.4212160363663
1971-05-01,2203.6591903023095,1896.4151257666472,1428.5532776738557,1351.5879720052083,1107.1358093528247,2602.1110339042466,2068.2287099410078,1343.4216524647402
1971-06-01,2209.375928795856,1907.5608868465245,1441.1043408890846,1358.835693359375,1108.611620773915,2606.827173477564,2075.94031509088,1346.6270784361175
1971-07-01,2207.9699972401495,1896.22477593823,1427.7163223481514,1357.6055501302083,1107.6906562372067,2598.231232471955,2061.489183075574,1346.0003067961838
1971-08-01,2211.0428519870925,1909.6190265405958,1441.093337367958,1353.8284505208333,1109.2629245274973,2616.2085899939902,2081.2345543686224,1346.4386526462251
1971-09-01,2207.672251825747,1911.125568140333,1437.9825215944102,1352.845947265625,1108.8619715261668,2613.2255358573716,2088.705755739796,1345.709471575982
1971-10-01,2200.876650602921,1904.0621463383468,1435.911452602333,1348.20068359375,1108.388056192856,2599.5132837540064,2071.4980767697703,1343.929648610343
1971-11-01,2196.9993259595785,1900.7893499926986,1438.7046276683539,1346.0302734375,1107.1037992119268,2601.2300931490386,2072.8493203922194,1339.7065559319692
1971-12-01,2209.7152046535325,1899.672064380111,1438.4175905039613,1347.7627766927083,1104.6791576402156,2600.9432279146636,2075.65955337213,1338.1286621093752
1972-01-01,2202.61057978091,1893.0356605030665,1431.4882090393926,1350.0968424479167,1104.3668522064343,2593.504920372596,2065.9076301419004,1337.5619263775582
1972-02-01,2210.9555451766305,1899.5902658622954,1435.8904771401849,1354.3697102864583,1104.865674681018,2602.0157251602564,2079.229113520408,1339.9015443514934
1972-03-01,2212.331091839334,1901.2558981636973,1436.6032130281692,1353.1509602864583,1105.055043582833,2610.994466145833,2076.9701899314414,1341.125731341607
1972-04-01,2201.539943529212,1898.4193605797311,1434.7572004291374,1358.37255859375,1105.5901406633802,2590.1861728766025,2068.3656030771685,1344.1858612330616
1972-05-01,2209.801449983016,1893.5366621641354,1426.3841226067343,1365.163818359375,1105.2121358146833,2593.1060008513623,2065.296406648597,1345.6256967730228
1972-06-01,2203.4369427224865,1891.5096104702102,1429.1653485365318,1361.48291015625,1105.806668877081,2579.618952824519,2055.941710180166,1345.973354103291
1972-07-01,2201.462588102921,1897.6439288843458,1436.4164110640406,1355.822998046875,1106.0948800832423,2591.512513772035,2067.0639349489797,1346.2646754442064
1972-08-01,2204.7009011973505,1897.7007999598422,1429.2998837753082,1353.1959635416667,1106.8235172454968,2593.8033666366186,2060.3557975924746,1346.2539537818031
1972-09-01,2215.8741826596465,1905.2888388945676,1439.0013788787412,1360.6466471354167,1106.6266055710971,2605.6319799178686,2073.244803292411,1347.5659395741152
1972-10-01,2213.9856753141985,1904.9951856381424,1438.8033154984596,1356.8030598958333,1106.8907225496384,2612.2430263421475,2079.049620336416,1346.282067763067
1972-11-01,2213.966701341712,1905.3279698452102,1436.362167143486,1354.5323079427083,1106.0102171252388,2617.8643642327725,2081.2199806680487,1344.233582083103
1972-12-01,2195.857703167459,1899.187148620035,1437.2168312610036,1351.6454264322917,1105.207471556018,2583.0339480669068,2074.308683434311,1342.014387012583
1973-01-01,2211.5865956182065,1904.3714291581482,1439.0186578455107,1351.94140625,1104.7390467214793,2608.6000100160254,2081.584323182398,1341.3330348192064
1973-02-01,2211.937945822011,1901.9384651540595,1442.8692025198063,1354.0394694010417,1105.2408543216088,2604.0511693709936,2078.744569116709,1340.326791948977
1973-03-01,2212.721186098845,1901.8907208308995,1437.9213145081426,1355.34375,1105.5173649017468,2605.9734637920674,2082.076964086416,1342.2508037195798
1973-04-01,2209.330550484035,1898.479254891939,1437.1399785431338,1357.421630859375,1105.7980466617767,2598.437343499599,2072.6208745216836,1344.0124781785814
1973-05-01,2206.13549273947,1899.2198338018397,1434.303477112676,1357.8138834635417,1107.2267090909866,2590.1274852263623,2064.9568518813776,1345.8234668832965
1973-06-01,2209.7213081691575,1907.1698055089075,1436.118886168574,1356.6976725260417,1108.0269492869813,2616.86041416266,2080.1025390625,1345.297970392008
1973-07-01,2219.598388671875,1904.2045807169975,1435.0710586762764,1362.1949869791667,1108.6098350291688,2611.678216396234,2070.378517617985,1346.004492835661
1973-08-01,2207.964291779891,1911.284887010806,1443.1425712477994,1356.2699381510417,1109.519098939854,2620.8499223758013,2085.138935945472,1346.300810417243
1973-09-01,2208.5150677224865,1912.0975102219625,1446.4828276298417,1356.1953125,1109.8496882676036,2615.4647435897436,2090.350964604592,1346.4398409413027
1973-10-01,2219.035538383152,1912.3183776285045,1443.0560904489437,1356.7666015625,1108.157042124386,2620.2699318910254,2090.593859614158,1345.59925720755
1973-11-01,2205.7686183763585,1904.458361474153,1443.083083461708,1349.412841796875,1107.6705732720388,2602.860044821715,2076.8671775350767,1341.0548117308492
1973-12-01,2207.294762652853,1906.4697265625,1441.9947664502643,1351.4646809895833,1107.6685476511327,2608.4308330829326,2081.168536750638,1339.8811272815267
1974-01-01,2207.9790198284645,1906.4651061441295,1437.3621980908893,1350.3121744791667,1105.9904806478576,2606.955816806891,2085.854168327487,1337.331829239837
1974-02-01,2208.8645603345785,1905.3161050671729,1441.3729815415934,1350.813720703125,1105.3551020060042,2612.24114833734,2084.6423090720664,1337.8483054912197
1974-03-01,2211.4819070567255,1904.2997841523072,1437.4824631382044,1354.0441080729167,1106.3553189606646,2610.6695713141025,2083.192537268814,1340.4341436065406
1974-04-01,2209.139881963315,1899.2305577358352,1435.9223701584508,1354.8319498697917,1105.8151045220388,2604.750569661458,2078.2253966039543,1341.8357106436672
1974-05-01,2212.216849949049,1900.8672125985688,1430.7568187444983,1357.9346516927083,1107.0390992810112,2604.573567708333,2069.8940977758293,1344.8255150719028
1974-06-01,2206.6370425016985,1904.6072416216412,1437.0434398382483,1356.4888509114583,1107.8795720396083,2600.148675380609,2074.219372807717,1344.9269252540792
1974-07-01,2192.845750891644,1906.1028881607767,1439.4073056503082,1349.9427897135417,1108.9503259117425,2593.3135203826123,2079.452576929209,1345.2813882743365
1974-08-01,2191.329292629076,1898.8812883323596,1438.236892055458,1351.9913736979167,1108.301993957253,2594.7270320012017,2069.0038564253828,1344.1907224401964
1974-09-01,2203.699261209239,1909.4084837726343,1441.4784606073945,1355.235107421875,1108.9134249624726,2615.555357321715,2088.3183693399237,1345.4745132311257
1974-10-01,2206.5700365149455,1907.8378837799357,1444.113631987236,1351.4518229166667,1107.9827720941935,2610.7866336137818,2080.4268973214284,1342.9451731453955
1974-11-01,2207.012143342391,1905.6655455972545,1446.891161421655,1349.022216796875,1106.474257556632,2603.9974897335737,2081.5651407047194,1339.5970977513136
1974-12-01,2199.1532035495925,1899.0569783148364,1437.5663649867959,1346.56787109375,1105.378849745838,2601.9920935997593,2076.0235222018496,1338.0304927319553
1975-01-01,2194.830853006114,1897.3295693085572,1439.2571247799297,1347.4707845052083,1104.8525881038483,2593.082056290064,2072.471026985013,1337.155880548258
1975-02-01,2210.093357252038,1902.6087110287674,1439.0373982174297,1352.679443359375,1106.3141402198758,2610.644374749599,2078.60144790338,1340.9159702537336
1975-03-01,2212.3172925866165,1903.8458993501752,1439.607862015845,1351.2276204427083,1105.8097339613469,2613.979085286458,2080.3845463966836,1341.134589541275
1975-04-01,2215.498683763587,1898.5578020042346,1431.5861231844192,1358.93408203125,1105.5336898070757,2606.2899076021636,2075.7756447305487,1342.721503603775
1975-05-01,2206.137483016304,1900.1496787383176,1433.7131553972272,1355.512451171875,1107.0301838837336,2601.1390099158652,2068.453543526786,1344.34017755289
1975-06-01,2202.0736030910325,1900.4041440018982,1428.9209500165055,1357.5127766927083,1107.7454546132983,2587.8472743890225,2065.360182158801,1344.7499503076606
1975-07-01,2209.3950354534645,1906.5975581374123,1436.5641849141725,1356.535400390625,1109.0285255398812,2597.003173828125,2075.6352638711737,1346.5619652672153
1975-08-01,2206.4207657523775,1911.005836558119,1445.7512654049297,1354.2517903645833,1109.7580022686955,2609.4222631209936,2084.14194535236,1345.6229961023923
1975-09-01,2215.5059814453125,1912.4399916033879,1444.973797865317,1358.5357259114583,1109.7564830530157,2618.3922400841343,2085.892035036671,1346.0239916776136
1975-10-01,2206.591929560122,1912.3611592800817,1442.2980510013206,1351.7223307291667,1108.6325699585493,2615.1348407451924,2092.1493841677297,1343.2667960107856
1975-11-01,2206.586754840353,1902.3666809652452,1442.3434405259684,1351.4800618489583,1107.7839414105144,2600.749010917468,2077.7582908163267,1341.1135513170632
1975-12-01,2205.587635869565,1905.0331187025408,1439.7423972546214,1351.771240234375,1106.8883504409457,2603.478064903846,2083.8505959024237,1340.0239657511754
1976-01-01,2201.5760338824725,1902.5755124671437,1438.2758342044456,1348.3218587239583,1105.402091080445,2604.3968787560093,2080.677266023597,1336.6741889345963
1976-02-01,2209.885837720788,1905.232424156688,1439.8700552926937,1353.4693196614583,1105.915519347878,2610.4332557091343,2083.7210518973216,1338.54732007052
1976-03-01,2214.044720193614,1902.23280291691,1440.741912411972,1351.3557942708333,1104.9824277386394,2614.219939403045,2079.0796396683672,1339.0681173949117
