,mgu250_cluster1,mgu250_cluster2,mgu250_cluster3,mgu250_cluster4,mgu250_cluster5,mgu250_cluster6,mgu250_cluster7,mgu250_cluster8
1975-01-01,-0.9589394,-2.3178601,0.6713848,-1.4852803,-0.037686158,-1.5834544,-1.9878683,-1.4887636
1975-02-01,-0.03800354,-0.80851173,-1.1271026,-0.733456,-1.2116592,-1.1818901,-1.2119758,-1.2290771
1975-03-01,-0.42563248,0.23086777,-1.481163,0.686269,0.009817505,-2.4074838,-1.6828951,-0.76069105
1975-04-01,-0.65111655,-0.9253704,-0.47883663,0.9811085,1.2426949,-1.3320014,-3.4943664,-0.4012474
1975-05-01,-0.19254799,-0.72838897,-1.1122181,-0.14979477,-0.33854255,0.42404938,-2.2301369,-0.43893355
1975-06-01,-0.38509598,-0.12699279,-4.2066045,2.01257,2.5398605,-2.1538148,-3.7413852,0.80851173
1975-07-01,-0.3759117,-1.0463463,-2.5781803,1.3351688,2.6817374,-2.8169656,-3.8864303,1.1828403
1975-08-01,-0.47218627,0.54217494,-3.336338,3.3404546,2.4831734,-4.110964,-3.863945,-2.1867504
1975-09-01,-0.7049538,-1.1442039,-4.134082,1.8539082,3.0231304,-2.7818122,-3.5140014,0.95102274
1975-10-01,-0.6096298,1.4254258,-2.1835833,0.60044575,3.9241166,-0.98965836,-3.8791466,-1.0738987
1975-11-01,0.27488786,-2.0296714,-1.0814991,-0.59062845,1.0143608,-1.9872348,-3.3091025,-0.70273685
1975-12-01,-0.37306213,-2.8175988,0.32714176,-1.7760025,-0.118758775,-1.6600933,-2.5119917,-0.7556244
1976-01-01,-0.7067711,-2.0281405,-0.031958006,0.88068885,-1.467366,-2.8805718,-1.5534836,-1.2450069
1976-02-01,-0.5254532,-2.3107142,-0.42857057,-0.35489923,-0.9217289,-2.764178,-1.8323574,-0.21798554
1976-03-01,-0.396949,-2.1209865,0.9937183,-0.42352447,-0.23346023,-2.675033,-2.0412602,-1.0626796
1976-04-01,-0.06257019,-0.8699242,-1.3015219,0.19309235,1.0663803,-0.92273825,-2.2229145,-0.76866835
1976-05-01,-0.025566483,-1.1491337,-0.78212434,0.25364342,1.700489,-1.251062,-2.8940277,0.6822144
1976-06-01,-0.5284805,0.1547432,-1.8182285,0.6886059,2.8422222,-1.1464424,-3.1147046,-0.5624565
1976-07-01,-0.75689393,-0.23749694,-3.0713093,0.8002895,1.7960266,-0.30275726,-3.1786199,-1.1989205
1976-08-01,-0.30410385,-0.7716961,-3.5530305,0.9752167,2.3298888,-2.6538398,-3.2694473,-0.38214722
1976-09-01,-0.58196795,-0.5274712,-1.6688683,0.8621868,2.567386,-0.84032136,-3.3878593,-0.3145317
1976-10-01,-0.4100685,-1.7099082,-0.47633895,0.7108078,2.3372903,1.0815178,-3.3084693,-0.30275765
1976-11-01,-0.074007414,-1.1921924,0.07030716,0.6381458,1.6644951,0.033639528,-3.2563279,-1.3264153
1976-12-01,-0.7669865,-2.4530106,-1.2954668,-2.3298888,-2.1119037,-0.044740677,-1.7496033,-0.2644081
1977-01-01,-1.0590217,-2.618362,-0.30288085,-0.43061447,-0.27280504,-1.8105621,-2.606332,-1.5798633
1977-02-01,-0.8212463,-2.821816,-1.9970322,-1.6792904,-0.43238336,-2.1693482,-1.815162,-0.69634247
1977-03-01,-0.01839981,-0.34003335,-0.04882889,0.9058121,-1.1761398,-3.126466,-1.9644794,-1.8339154
